RFA(Sample Set ID)/Tag_id|Segment|Station ID|Station Description|Parameter Code|Parameter Description|Greater Than/Less Than|Value|End Date|End Time|End Depth|Start Date|Start Time|Start Depth|Composite Category|Composite Type|Submitting Entity|Collecting Entity|Monitoring Type|Comments
0039208|1415|17425|N LLANO R UPSTRM LLANO R|00940|CHLORIDE (MG/L AS CL)||19|09/23/2002|15:00|0.3||||||WC|FO|RT|LIM 00680     2 TRDE  (NPOC).
0039234|1415|17425|N LLANO R UPSTRM LLANO R|70300|RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)||262|12/09/2002|13:40|0.3||||||WC|FO|RT|LIM 00680     2 TRDE  (NPOC).
0042218|1415|17425|N LLANO R UPSTRM LLANO R|70300|RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)||280|03/06/2003|14:30|0.3||||||WC|FO|RT|LIM 32211     1 TRDE %RPD for batch's duplicate chlorophyll analysis  was greateLIM 32211     2 TRDE  than the  laboratory's established Control Limit.LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042238|1415|17425|N LLANO R UPSTRM LLANO R|00940|CHLORIDE (MG/L AS CL)||25|06/09/2003|14:20|0.3||||||WC|FO|RT|LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042238|1415|17425|N LLANO R UPSTRM LLANO R|70300|RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)||274|06/09/2003|14:20|0.3||||||WC|FO|RT|LIM 00680     1 TRDE  Reported TOC result is actually Nonpurgeable Organic Carbo
0042362|1415|17425|N LLANO R UPSTRM LLANO R|00940|CHLORIDE (MG/L AS CL)||15|09/09/2004|13:25|0.3||||||WC|FO|RT|Param 00530 remarked per DCR 030805 MDMA
0042391|1415|17425|N LLANO R UPSTRM LLANO R|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||8|12/09/2004|12:30|0.3||||||WC|FO|RT|
0042391|1415|17425|N LLANO R UPSTRM LLANO R|70300|RESIDUE,TOTAL FILTRABLE (DRIED AT 180C) (MG/L)||292|12/09/2004|12:30|0.3||||||WC|FO|RT|
0042391|1415|17425|N LLANO R UPSTRM LLANO R|00945|SULFATE (MG/L AS SO4)||21|12/09/2004|12:30|0.3||||||WC|FO|RT|
0050105|1415|17425|N LLANO R UPSTRM LLANO R|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||15|03/03/2005|13:05|0.3||||||WC|FO|RT|
0050127|1415|17425|N LLANO R UPSTRM LLANO R|00940|CHLORIDE (MG/L AS CL)||15|06/02/2005|13:30|0.3||||||WC|FO|RT|
0050127|1415|17425|N LLANO R UPSTRM LLANO R|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||5|06/02/2005|13:30|0.3||||||WC|FO|RT|
0053864|1415|17425|N LLANO R UPSTRM LLANO R|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||4|03/06/2006|11:28|0.3||||||WC|FO|RT|Param 00625 TKN analysis not performed - instrument failure.
L109030|1415|17425|N LLANO R UPSTRM LLANO R|00940|CHLORIDE (MG/L AS CL)||28.4|04/10/2013|10:20|0.3||||||LC|LC|RT|
L110186|1415|17425|N LLANO R UPSTRM LLANO R|00530|RESIDUE, TOTAL NONFILTRABLE (MG/L)||2.1|10/01/2013|11:24|0.3||||||LC|LC|RT|
L111039|1415|17425|N LLANO R UPSTRM LLANO R|00945|SULFATE (MG/L AS SO4)||16.9|02/06/2014|09:42|0.3||||||LC|LC|RT|
1030579|1415|17425|N LLANO R UPSTRM LLANO R|00945|SULFATE (MG/L AS SO4)||12|09/17/2007|12:00|0.3||||||WC|FO|RT|
